,Show_Number,Air_Date,Round,Category,Value,Question,Answer,Float_Value,,
98182,4491,2004-03-01,Double Jeopardy!,IT'S A CONSPIRACY!,$2000,"This Guy is the best known figure in the conspiracy known as the ""Gunpowder Plot"" to kill King James I in 1605",Guy Fawkes,2000,,
98283,1170,1989-10-06,Double Jeopardy!,LEGENDS,"$1,000","This king & his queen, Igrayne, were the parents of King Arthur",Uther Pendragon,1000,,
98695,5029,2006-06-22,Double Jeopardy!,IT WAS THE OCEAN TO BE PACIFIC,$1200,This Pacific island nation has been ruled by King Taufa'ahau Tupou IV since 1965,Tonga,1200,,
98753,2979,1997-07-10,Double Jeopardy!,MUSIC,$600,"As court singer, the famed Castrato Farinelli soothed the melancholia of this country's King Philip V",Spain,600,,
98837,5539,2008-10-09,Jeopardy!,HISTORIC BINGO,$400,"""I"" 1958: Army officers overthrew this country's King Faisal II & declared it a republic",Iraq,400,,
98957,2580,1995-11-17,Jeopardy!,BRITISH HISTORY,$100,King John's failure to honor this document in 1215 led to a rebellion by the barons,Magna Carta,100,,
99178,4570,2004-06-18,Double Jeopardy!,BEN & JENNIFER FILMS,$1200,2003: Ben Kingsley & Jennifer Connelly,House of Sand and Fog,1200,,
99282,5629,2009-02-12,Jeopardy!,"""G""EOGRAPHY",$1000,King Constantine of this Balkan country was forced from his throne in 1917 & again in 1922,Greece,1000,,
99425,3094,1998-01-29,Double Jeopardy!,I'M WARNING YOU...,$800,"After hearing dire warnings, King Saul regretted having the spirit of this prophet raised at Endor",Samuel,800,,
99427,3094,1998-01-29,Double Jeopardy!,BIG MOVIES,$1000,Sausage King Jimmy Dean played a former sheriff in this 1990 film named for his biggest hit record,Big Bad John,1000,,
99569,3171,1998-05-18,Jeopardy!,"""LITTLE"" WOMEN",$500,"Once Carole King's babysitter, she's the singer heard here:  ""I know you'll get to like it if you give it a chance now, c'mon baby, do the Loco-Motion....""",Little Eva,500,,
99615,3171,1998-05-18,Double Jeopardy!,SHAKESPEAREAN ANAGRAMS,$1000,"She's ""one girl"" King Lear should have been leery of",Goneril (one girl),1000,,
99878,5535,2008-10-03,Jeopardy!,THE OLD TESTAMENT,$800,"When this wicked Phoenician princess married King Ahab, Ahab adopted her worship of Baal",Jezebel,800,,
100005,4389,2003-10-09,Jeopardy!,EUROPE,$1000,In 1997 this eastern European country restored the citizenship of its exiled King Michael,Romania,1000,,
100034,4389,2003-10-09,Double Jeopardy!,LODGING,$1600,"In 1912 King Alfonso inaugurated this -- not his own home, but the Madrid hotel",the Palace,1600,,
100170,3301,1999-01-04,Jeopardy!,NAME THAT BOARD GAME,$200,"""King me!""",Checkers,200,,
100346,4162,2002-10-08,Jeopardy!,CAPITAL TOURISM,$400,Sir Francis Chantrey's statue of King George IV stands in a corner of this famous London square,Trafalgar Square,400,,
100485,5231,2007-05-14,Jeopardy!,"""LAND"" HO!",$1000,In 1982 King Sobhuza of this southern African country died after a 61-year reign,Swaziland,1000,,
100544,5414,2008-03-06,Jeopardy!,THE OLD TESTAMENT,$1000,"In the first book of Kings, Elijah triumphs at Mt. Carmel in a contest with the prophets of this god",Baal,1000,,
100575,5414,2008-03-06,Double Jeopardy!,CURSES,$2000,"Attributed to King Tut's curse, the death of this British Lord was actually caused by an infected insect bite",Lord Carnarvon,2000,,
100580,5106,2006-11-20,Jeopardy!,PUPPETS ON PARADE,$200,"The Timon puppet in ""The Lion King"" was inspired by Bunraku, the traditional puppet theatre of this country",Japan,200,,
100613,5106,2006-11-20,Double Jeopardy!,"ONE ""L""",$600,"""It is easier for"" this animal ""to go through the eye of a needle than for a rich man to enter into the Kingdom of God""",a camel,600,,
100666,5637,2009-02-24,Double Jeopardy!,ANIMATED VOICES,$1600,"""You got lucky""--this Heartbreaker voiced Lucky in a ""King of the Hill"" episode titled ""Tears of an Inflatable Clown""",Tom Petty,1600,,
101100,4251,2003-02-10,Jeopardy!,FRENCH CLASS: POTPOURRI,$400,"In 1789 King Louis asked, ""Is it a revolt?"" & a duke said, no it was one of these -- the French one",revolution,400,,
101113,4251,2003-02-10,Jeopardy!,COLONIAL AMERICA,$1000,This Appalachian mountain pass was discovered in 1750 by Thomas Walker & named for the son of King George II,Cumberland Gap,1000,,
101152,5203,2007-04-04,Jeopardy!,POLITICAL LINGO,$200,"In the mid-1800s Samuel Ward was the ""King of"" this, soliciting legislative support for his causes",lobbying,200,,
101316,5362,2007-12-25,Double Jeopardy!,"TO THE ""LEFT"" HAND SIDE",$1200,This 5-word phrase was used to clear venues following performances by the King of Rock and Roll,Elvis has left the building,1200,,
101548,2808,1996-11-13,Double Jeopardy!,FILM DIRECTORS,$800,"His 1985 film ""Ran"" is a Japanese version of ""King Lear""",Akira Kurosawa,800,,
101791,5047,2006-07-18,Double Jeopardy!,DUST TO DUST,$2000,"In ""King Lear"", Albany tells her, ""You are not worth the dust which the rude wind blows in your face""",Goneril,2000,,
101805,3965,2001-11-23,Jeopardy!,THE IBERIAN PENINSULA,$300,This 2.25-square-mile area on the Iberian Peninsula belongs to the United Kingdom,Gibraltar,300,,
101856,4301,2003-04-21,Jeopardy!,KING WORLD,$200,"Kings Faisal, Khalid & Fahd have all reigned over this country",Saudi Arabia,200,,
102095,5387,2008-01-29,Jeopardy!,HAIL TO THE CHIEF,$200,"The Whigs were fond of referring to him as ""King Andrew I""",(Andrew) Jackson,200,,
102102,5387,2008-01-29,Jeopardy!,TALKING SHOP,$400,"King Kullen, which started selling groceries in an old garage in Queens in 1930, calls itself the first of these",a supermarket,400,,
102505,3918,2001-09-19,Double Jeopardy!,COLUMBIA,$800,Columbia was founded in 1754 as King's College by royal charter of this English king,George II,800,,
102751,3758,2000-12-27,Jeopardy!,DISNEY'S ANIMAL KINGDOM,$100,"Seen here, the centerpiece of Disney's Animal Kingdom is called the ""Tree of"" this, not the ""Circle of"" it",Life,100,,
102817,5743,2009-07-22,Jeopardy!,BAY O' WOLF,$400,The title of this Stephen King movie also refers to a traditional projectile used against werewolves,Silver Bullet,400,,
102912,2055,1993-07-09,Double Jeopardy!,"GLUB, GLUB",$400,King Frederick Barbarossa drowned in 1190 while on the way to the third of these,the Crusades,400,,
103100,4901,2005-12-26,Double Jeopardy!,"MEN OF THE ""C""",$1600,"He was crowned King of France in 987, beginning a dynasty",Hugh Capet,1600,,
103132,5465,2008-05-16,Jeopardy!,BIBLE STORIES,$1000,King Saul didn't let his people eat until they destroyed these enemies,the Philistines,1000,,
103195,3391,1999-05-10,Jeopardy!,KEGLER PARTY,$500,"In ""Kingpin"" this actor played Amish bowling prodigy Ishmael Boorg",Randy Quaid,500,,
103710,4574,2004-06-24,Jeopardy!,KINGS & THEIR CASTLES,$200,"Once the home of King Christian IV, Rosenborg Castle now houses this Scandinavian country's crown jewels",Denmark,200,,
103722,4574,2004-06-24,Jeopardy!,KINGS & THEIR CASTLES,$600,King James V was not yet 2 when he was crowned king of this country at Stirling Castle in 1513,Scotland,600,,
103856,3770,2001-01-12,Jeopardy!,COMIC STRIPPERS,$500,"The King, Sir Rodney, The Spirit",The Wizard of Id,500,,
103926,3545,2000-01-21,Double Jeopardy!,FAMILIAL QUOTATIONS,$400,"In the King James Version of John 3:16, ""God so loved the world, that he gave"" this",His only begotten son,400,,
103931,3545,2000-01-21,Double Jeopardy!,MUSICAL INSPIRATIONS,$600,"""The Once and Future King""",Camelot,600,,
103939,3545,2000-01-21,Double Jeopardy!,FOR RICHARD,$800,"He's been dubbed ""The King of Angst"":",Richard Lewis,800,,
103965,4508,2004-03-24,Jeopardy!,FAMOUS AMERICANS,$800,"""The World's Greatest Gospel Singer"", she sang at President Kennedy's inauguration & Martin Luther King's funeral",Mahalia Jackson,800,,
103969,4508,2004-03-24,Jeopardy!,TRAVEL & TOURISM,$800,"The history of St. Thomas in this island group is exhibited at Fort Christian, named for Denmark's King Christian V",the Virgin Islands,800,,
104222,2868,1997-02-05,Double Jeopardy!,WORLD GEOGRAPHY,$400,"Gwynedd & Clwyd are the northernmost counties in this country, part of the United Kingdom",Wales,400,,
104464,6059,2011-01-06,Double Jeopardy!,NICKNAMES,$800,"Born in 1874, he was nicknamed ""The Handcuff King"" & ""The King of Escapologists""",Houdini,800,,
104649,5498,2008-07-02,Double Jeopardy!,FAILURE TO COMMUNICATE,"$2,000",Stephen King would know this term for an area where cell phone reception drops out,a dead zone,2000,,
104795,1421,1990-11-05,Jeopardy!,BY THE NUMBERS,$200,The last thing Old King Cole called for,his fiddlers three,200,,
104832,1421,1990-11-05,Double Jeopardy!,BLACK AMERICA,$600,In 1968 this Baptist minister succeeded M.L. King Jr. as president of the S.C.L.C.,(Ralph) Abernathy,600,,
105254,2670,1996-03-22,Double Jeopardy!,WOMEN IN GREEK MYTHOLOGY,$600,This daughter of King Nisus shared her name with a monster who lived near Charybdis,Scylla,600,,
105512,5699,2009-05-21,Jeopardy!,THE WORLD AT WAR,$400,"St. Louis, Missouri was named for King Louis IX of France, who led the Seventh & Eighth of these military debacles",the Crusades,400,,
105561,5699,2009-05-21,Double Jeopardy!,SONG & MOVIE TITLES,$2000,"Thanks to the film of the same name, this Ben E. King song returned to the charts 25 years after its initial run","""Stand By Me""",2000,,
105961,4641,2004-11-08,Jeopardy!,BOTTOM OF THE NINTH,$200,He dedicated his ninth symphony to the King of Prussia,Beethoven,200,,
106254,3013,1997-10-08,Jeopardy!,FRIENDS,$100,"Carole King wrote ""You've Got A Friend"" & this man, her friend, sang it & made it a No. 1 hit",James Taylor,100,,
106370,4869,2005-11-10,Double Jeopardy!,PITHY QUOTES,$2000,"The King James Bible's shortest verse, ""Jesus wept"", refers to the death of this man",Lazarus,2000,,
106450,5983,2010-09-22,Jeopardy!,RHYMES WITH YELLOW,$600,"In a lyric from ""The King and I"", it precedes ""young lovers, whoever you are""",hello,600,,
106665,5141,2007-01-08,Double Jeopardy!,A GEOGRAPHY LESSON,$2000,The St. Lawrence River leaves this lake at Kingson,Lake Ontario,2000,,
107009,5294,2007-09-20,Double Jeopardy!,LEND US THY VOICE,$1600,Louis Prima as King Louie,The Jungle Book,1600,,
107032,4231,2003-01-13,Jeopardy!,30 YEARS' WAR CALL-IN,$600,"(Alex: Well, on the line right now is General Albrecht von Wallenstein)  Hey, King Christian IV of this Scandinavian country give me your best shot, pal.  You got nothing!",Denmark,600,,
107200,1193,1989-11-08,Final Jeopardy!,THE OSCARS,None,Only Pulitzer Prize-winning novels to become Oscar-winning “Best Pictures” are “All The King's Men” & this one,Gone with the Wind,0,,
107381,3468,1999-10-06,Double Jeopardy!,"THE ""UN""CATEGORY",$1000,King Ethelred's adjective,"""The Unready""",1000,,
107954,5486,2008-06-16,Double Jeopardy!,SHAKESPEARE,$1600,"In ""King John"", King John's first words to her are ""Silence, good mother; hear the embassy""",Eleanor of Aquitaine,1600,,
108034,2514,1995-07-06,Jeopardy!,BIBLE QUOTATIONS,$200,"In 1 Kings 3:12 God said to him, ""I have given thee a wise and an understanding heart""",Solomon,200,,
108070,2514,1995-07-06,Double Jeopardy!,WORLD HISTORY,$600,In 1734 this city near Mount Vesuvius became the capital of the Kingdom of the Two Sicilies,Naples,600,,
108198,3631,2000-05-22,Double Jeopardy!,ACTRESSES ON TELEVISION,$1000,"The '50s sitcom ""Pride Of The Family"" featured this ""King Kong"" star & Natalie Wood as mother & daughter",Fay Wray,1000,,
108631,5689,2009-05-07,Jeopardy!,MUSICAL GENRES,$600,"The first ""B"" in B.B. King's name stands for this musical genre",blues,600,,
108649,5689,2009-05-07,Double Jeopardy!,MAD PROPS,$400,It would be cool to own the Spartan shield King Leonidas (Gerard Butler) used in this 2006 film,300,400,,
108676,5689,2009-05-07,Double Jeopardy!,THEY RULED!,"$3,000",King of Jordan & a familiar name to our president (1952-99),Hussein,3000,,
108957,4317,2003-05-13,Double Jeopardy!,"A ""LITTLE"" MUSIC",$2000,"She worked as a babysitter for songwriter Carole King until hitting the big time with King's song ""The Loco-Motion""",Little Eva,2000,,
109052,4652,2004-11-23,Double Jeopardy!,"MARTIN LUTHER KING, JR.",$400,In 1948 Dr. King was ordained a minister in this Christian denomination,Baptist,400,,
109058,4652,2004-11-23,Double Jeopardy!,"MARTIN LUTHER KING, JR.",$800,King donated the money he received for winning this international award in December 1964 to civil rights causes,the Nobel Peace Prize,800,,
109064,4652,2004-11-23,Double Jeopardy!,"MARTIN LUTHER KING, JR.",$1200,"While at Crozer Theological Seminary, King studied the nonviolent philosophy of this Asian leader",Gandhi,1200,,
109070,4652,2004-11-23,Double Jeopardy!,"MARTIN LUTHER KING, JR.",$1600,"Tragically, Dr. King was assassinated in 1968 while visiting this Tennessee city",Memphis,1600,,
109076,4652,2004-11-23,Double Jeopardy!,"MARTIN LUTHER KING, JR.",$2000,"At this Washington, D.C. landmark in 1963, King gave his famous ""I have a dream"" speech",Lincoln Memorial,2000,,
109236,2943,1997-05-21,Double Jeopardy!,HISTORIC NAMES,$600,Spain's King Philip II was married 4 times, his second wife was this Tudor queen,Mary Tudor (Mary I of England),600,
109294,4235,2003-01-17,Double Jeopardy!,THE ROCK & ROLL HALL OF FAME & MUSEUM,$800,"On my honor, you can see a Cub Scout uniform worn by this singer long before he was the ""Lizard King""",Jim Morrison,800,,
109432,5747,2009-09-15,Double Jeopardy!,FICTION PULITZERS,$2000,"Oscar Hijuelos got a Pulitzer for these ""Kings"" who ""play songs of love""",The Mambo Kings,2000,,
109435,5449,2008-04-24,Jeopardy!,HISTORY OF THE JEWISH PEOPLE,$200,1290: The Jews are expelled from this nation by King Edward I,England,200,,
109478,5449,2008-04-24,Double Jeopardy!,LAST NAME'S THE SAME,$1200,"""King of Queens"" Kevin, or king of the court LeBron",James,1200,,
109486,5449,2008-04-24,Double Jeopardy!,"""B""EOPLE",$1600,"Known as the ""King of Torts"", this San Francisco lawyer defended Jack Ruby at his murder trial",Melvin Belli,1600,,
109581,4716,2005-02-21,Jeopardy!,LITERARY TITLE PAIRS,$1000,"1904: ""...and Kings""",Cabbages,1000,,
109598,4716,2005-02-21,Double Jeopardy!,MIAMI,$800,The 3 Kings Parade is a tradition of this community, it's banned on their home island,the Cuban community,800,
109657,3653,2000-06-21,Double Jeopardy!,BASEBALL LIT,$400,"""The Bingo Long Traveling All-Stars and Motor Kings"" is set in the segregated leagues called these",Negro Leagues,400,,
109661,3653,2000-06-21,Double Jeopardy!,THAT WAS ENTERTAINMENT!,$600,"In 1922 this trumpeter joined the Creole Jazz Band led by King Oliver, who became his mentor",Louis Armstrong,600,,
109675,3653,2000-06-21,Double Jeopardy!,BASEBALL LIT,$1000,"In 1999 Stephen King published ""The Girl Who Loved"" this Red Sox relief pitcher",Tom Gordon,1000,,
109830,6165,2011-06-03,Double Jeopardy!,KING OF QUEENS,$400,I Kings relates that this wise king had 700 wives & 300 concubines (Did I say wise?),Solomon,400,,
109967,4776,2005-05-16,Double Jeopardy!,ORLANDO BLOOMS,$1600,Famed Westminster Abbey organist Orlando Gibbons performed at the funeral of this Stuart King in 1625,James I,1600,,
109985,4164,2002-10-10,Jeopardy!,CERTIFICATES,$400,"When Billie Jean King won her first Wimbledon singles title in 1966, the prize was one of these for tennis wear",gift certificate,400,,
110188,6052,2010-12-28,Double Jeopardy!,COMPLETE THE BOOK TITLE,$400,"Stephen King: ""The ___ Tower""",Dark,400,,
110471,4831,2005-09-19,Jeopardy!,A ROSE IS A ROSE IS A ROSE,$400,"Alliterative woman described in song <a href=""http://www.j-archive.com/media/2005-09-19_J_17.mp3"">here</a> by Nat King Cole  <i>""Wild and wind-blown / That's how you've grown""</i>","""Ramblin' Rose""",400,,
110497,4831,2005-09-19,Double Jeopardy!,FROM THE PORTUGUESE,$400,In 1484 he tried to get King John II of Portugal to finance his transoceanic trip,Columbus,400,,
110602,3523,1999-12-22,Jeopardy!,A CHRISTMAS SONGBOOK,$400,"This song heard here was a big hit for The King in 1964: (""Decorations of red, on a green..."")","""Blue Christmas""",400,,
110904,5590,2008-12-19,Jeopardy!,COMPLETES THE SHAKESPEARE QUOTE,$800,"King Lear: ""How sharper than a serpent's tooth it is to have a thankless ____""",child,800,,
111063,5261,2007-06-25,Double Jeopardy!,ANGLOPHILIA,$2000,Legend says King Lear's father noted this city's healing waters when leprous pigs were cured by wallowing there,Bath,2000,,
111163,6284,2012-01-05,Double Jeopardy!,HIGHLY OEDIPAL,$400,"King Robert II of this country was a good son to Hugh Capet, but his own sons turned against him",France,400,,
111189,6281,2012-01-02,Jeopardy!,ARTHUR'S CAMELOT,$200,King Arthur received this sword from the Lady of the Lake, it was later returned to her by Sir Bedivere,Excalibur,200,
111213,6281,2012-01-02,Jeopardy!,ARTHUR'S CAMELOT,$1000,"The Somerset town of Glastonbury claims to be this fabled isle, the final resting place of King Arthur",Avalon,1000,,
111604,3421,1999-06-21,Double Jeopardy!,ACTORS & ACTRESSES,$1000,"In 1978 she played Brooke Shields' mother in 2 different films, ""Pretty Baby"" & ""King of the Gypsies""",Susan Sarandon,1000,,
111732,3887,2001-06-26,Jeopardy!,U.S. ISLANDS,$200,"4 New York counties lie on this island, including Kings & Queens",Long Island,200,,
111758,3887,2001-06-26,Double Jeopardy!,"KNOCK, KNOCK",$200,"T.S. Eliot knocked this Shakespearean tragedy with King Claudius, saying it was ""certainly an artistic failure""","""Hamlet""",200,,
111926,1331,1990-05-21,Jeopardy!,"FILE UNDER ""M""","$1,000","It begins ""John, by the grace of God, King of England, Lord of Ireland, Duke of Normandy & Aquitaine....""",Magna Carta,1000,,
112132,4970,2006-03-31,Double Jeopardy!,BROADWAY SECRETS,$1600,"According to her daughter, Marlene Dietrich secretly romanced this man between matinees & evening shows of ""The King & I""",Yul Brynner,1600,,
112366,3597,2000-04-04,Double Jeopardy!,IN THE W.C.,$600,King Gillette's invention led to medicine cabinets equipped with slots to dispose of these,Razor blades,600,,
112522,4474,2004-02-05,Jeopardy!,A TIME TO DIE,$800,France's King Henry II died in 1559 after he was wounded during one of these tournaments,jousting tournament,800,,
112804,4393,2003-10-15,Jeopardy!,AMERICAN HISTORY,$400,"This ""King of the Wild Frontier"" once claimed to have killed 105 bears during a few months in 1825",Davy Crockett,400,,
112917,2813,1996-11-20,Double Jeopardy!,CURRENT KINGS,$1000,"In 1986, Prince Makhosetwe was crowned King Mswati III of this landlocked African country",Swaziland,1000,,
112959,484,1986-10-16,Double Jeopardy!,RELIGION,$600,Both Martin Luther King Sr. & Jr. were pastors of this Atlanta church,Ebenezer Baptist Church,600,,
112960,484,1986-10-16,Double Jeopardy!,"STARTS WITH ""E""",$600,Tradition says that King Solomon wrote this book of the Old Testament containing essays on life,Ecclesiastes,600,,
113014,5655,2009-03-20,Double Jeopardy!,FOREIGN EXCHANGE,$800,"This country's $50 bill features William Lyon Mackenzie King, its longest-serving prime minister",Canada,800,,
113015,5655,2009-03-20,Double Jeopardy!,KINGS,"$9,000","A busy guy, he was King of Italy (1900 to 1946), Emperor of Ethiopia (1936 to 1941) & King of Albania (1939 to 1943)",Victor Emmanuel (III),9000,,
113027,5655,2009-03-20,Double Jeopardy!,KINGS,$1600,"This country's King Bhumbol was born in Cambridge, Mass., where his father was studying at Harvard",Thailand,1600,,
113040,5553,2008-10-29,Jeopardy!,CROPS,$200,"An 1855 book was called this cash crop ""is King; or, the Economical Relations of Slavery""",Cotton,200,,
113137,5700,2009-05-22,Double Jeopardy!,"THE ""BUC""s",$800,"Perhaps to keep this president from being lonely, the King of Siam offered him a herd of elephants",(James) Buchanan,800,,
113200,4221,2002-12-30,Double Jeopardy!,FRENCH LIT,$100,"Chapter VI of this 1844 novel is called ""His Majesty King Louis XIII""","""The Three Musketeers""",100,,
113319,1339,1990-05-31,Double Jeopardy!,HISTORY,$600,The United Kingdom of Great Britain & Ireland was established on the first day of this century,19th Century,600,,
113359,4241,2003-01-27,Jeopardy!,"GIMME A ""G""!",$800,"Excluding the gospels, one of the 2 books of the King James Version of the Bible that fit the category",Genesis or Galatians,800,,
113376,4241,2003-01-27,Double Jeopardy!,NAME IN COMMON,$800,"...to the big screen's ""Scorpion King"" & the little screen's ""McMillan""",Rock (the Rock & Rock Hudson),800,,
113382,4241,2003-01-27,Double Jeopardy!,NAME IN COMMON,$1200,"...to a ""Lethal"" Mel Gibson movie character & a famous loser to Billie Jean King",Riggs,1200,,
113464,3226,1998-09-21,Jeopardy!,DO YOU HAVE ANY KINGS?,$200,"Frankly, my dear, this king of the Franks was called Rex Pater Europae -- ""King Father of Europe""",Charlemagne,200,,
113679,1239,1990-01-11,Double Jeopardy!,SCANDINAVIANS,$600,"King Canute the Great ruled Denmark, Norway & this non-Scandinavian country in the 11th century",England,600,,
113709,5469,2008-05-22,Jeopardy!,20th CENTURY NOVELS,$600,"In the Stephen King book, Annie Wilkes loves company, but only author Paul Sheldon's",Misery,600,,
113747,5469,2008-05-22,Double Jeopardy!,ROMANCE & HISTORY,$1600,"Dorothea Jordan, who found fame in this profession, found time to have 10 children with the future King Wm. IV",an actress,1600,,
114070,3542,2000-01-18,Jeopardy!,ROCK MY WORLD,$300,"Of King Ad-Rock, Thugmuffin C, MCA or Mike D, the one who's not a member of the USA's Beastie Boys",Thugmuffin C,300,,
114127,3605,2000-04-14,Jeopardy!,PLAYING DUMB,$300,"Hey, now!  Jeffrey Tambor played Hank Kingsley, this talk show host's self-absorbed sidekick",Larry Sanders,300,,
114388,1102,1989-05-23,Double Jeopardy!,SHAKESPEAREAN TRIVIA,$400,"""King John"" & ""King Henry V"" are both set in these 2 countries",England & France,400,,
114438,5659,2009-03-26,Double Jeopardy!,LEAN SCREEN,$400,King Hussein of Jordan offered David Lean camel-riders of the desert patrol as extras for this 1962 epic,Lawrence of Arabia,400,,
114445,5659,2009-03-26,Double Jeopardy!,PLANET SPAN IT,$800,The King Fahd Causeway links the island nation of Bahrain to this country,Saudi Arabia,800,,
114557,533,1986-12-24,Double Jeopardy!,"FAMOUS ""JAMES""s",$200,"""The Godfather of Soul"", he went on TV to calm tensions after the assassination of Dr. King",James Brown,200,,
114866,3028,1997-10-29,Double Jeopardy!,BOOKS & AUTHORS,$400,"""God Knows"", a 1984 novel by this ""Catch-22"" author, is a satire narrated by King David",Joseph Heller,400,,
115027,5982,2010-09-21,Jeopardy!,WOMEN ON THE MAP,$800,"The city of Enid in this state is believed to be named for a character in ""Idylls of the King""",Oklahoma,800,,
115105,3652,2000-06-20,Double Jeopardy!,BEFORE & AFTER,$200,King Arthur's furniture listed at the beginning of a book,Round table of contents,200,,
115163,5636,2009-02-23,Double Jeopardy!,LIVIN' LIBIDO LOCA,$400,"In 1764 this Russian empress made Stanislaw Poniatowski, an ex-lover devoted to her, King of Poland",Catherine the Great,400,,
115254,5514,2008-07-24,Jeopardy!,ABC AFTERSCHOOL SPECIAL STARS,$200,"In 1988 this ""King of Pop"" played himself in ""Daddy Can't Read""",Michael Jackson,200,,
115256,5514,2008-07-24,Jeopardy!,DOUBLE-LETTER GEOGRAPHY,$200,"The Arabic name of this Muslim nation in northwest Africa means ""The Western Kingdom""",Morocco,200,,
115405,3972,2001-12-04,Double Jeopardy!,CANADA LEFTOVERS,$400,In 1921 King George V approved these as the official colours of Canada,red & white,400,,
115436,3879,2001-06-14,Jeopardy!,TAKE THE KIDS!,$100,"In part of Disney's Animal Kingdom, no glass separates you from the giant fruit type of this flying mammal",Bat,100,,
115664,4296,2003-04-14,Double Jeopardy!,OF BABYLON,"$1,000","Following the capture of King Nabonidus in 539 B.C., this empire completed its conquest of Babylon",the Persian Empire,1000,,
115888,6296,2012-01-23,Double Jeopardy!,REAL PEOPLE IN NOVELS,$400,"In ""Gatsby's Girl"" Caroline Preston fictionalized the romance of Ginevra King & this writer during his Princeton days",F. Scott Fitzgerald,400,,
115996,5861,2010-02-22,Jeopardy!,LIBROS EN ESPAÑOL,$800,"Stephen King: ""La Milla Verde""",The Green Mile,800,,
116267,4226,2003-01-06,Double Jeopardy!,WHEN THEY WERE YOUNG,$1600,Future astronaut Sally Ride was so good at this sport that Billie Jean King suggested she turn professional,tennis,1600,,
116318,5378,2008-01-16,Double Jeopardy!,COUNTRIES OF THE WORLD,$1200,"On June 1, 1976 the United Kingdom & this Atlantic island nation agreed to end the ""Cod War""",Iceland,1200,,
116513,4528,2004-04-21,Double Jeopardy!,THEY SOUND LIKE BEFORE & AFTERS,$2000,King of the Franks from 768 to 814 covered in a 1920 Sinclair Lewis novel,Charlemagne Street,2000,,
116741,3744,2000-12-07,Double Jeopardy!,HISTORICAL NOVELS,$600,"King Louis XI of France is a major character in this Scotsman's 1823 novel ""Quentin Durward""",Sir Walter Scott,600,,
116805,4276,2003-03-17,Double Jeopardy!,"""M.D.""s",$1200,"He wrote Elvis' hit ""In the Ghetto"" & co-wrote ""A Little Less Conversation"", a posthumous hit for the King",Mac Davis,1200,,
117179,2844,1997-01-02,Jeopardy!,POP MUSIC,$200,"B.B. King joined this band on ""When Love Comes To Town"" on their ""Rattle And Hum"" album",U2,200,,
117185,2844,1997-01-02,Jeopardy!,POP MUSIC,$300,This 1960s pop & country star opened a hotel in Nashville called King Of The Road,Roger Miller,300,,
117231,6289,2012-01-12,Jeopardy!,MEDAL OF FREEDOM ATHLETES,$200,"""King Richard"" of NASCAR fame who won a record 27 races in 1967",(Richard) Petty,200,,
117269,6289,2012-01-12,Double Jeopardy!,"IT'S GOOD TO BE ""KING""",$800,"Though Elizabeth was on the throne, Kingsley Amis titled his guide to correct usage this",the Kings English,800,,
117548,5112,2006-11-28,Jeopardy!,THEY TOOK DEBATE,$600,In 1993 Vice President Al Gore & Ross Perot appeared on Larry King to debate this trade pact,NAFTA,600,,
117626,3244,1998-10-15,Double Jeopardy!,"""ERE""Y WORDS",$200,"King Arthur's wife, she was known as Guanhumara in ""Historia Regum Britanniae""",Guinevere,200,,
117823,2997,1997-09-16,Double Jeopardy!,HISTORY,$800,In 1863 Prince William of Denmark ascended this country's throne as King George I,Greece,800,,
117949,3192,1998-06-16,Double Jeopardy!,"HAIL, HAIL ALBANIA",$1000,"King Zog I ruled from 1928 until 1939, when this country annexed Albania",Italy,1000,,
118255,5566,2008-11-17,Jeopardy!,"AN ""F"" IN HISTORY",$200,"In 1506, 2 years after the death of his wife Isabella, this King of Aragon married Germaine de Foix",Ferdinand,200,,
118286,5566,2008-11-17,Double Jeopardy!,BALLETS THAT TEENS LIKE,$400,"In many versions of this classic 1892 holiday ballet, Clara rides off to the Kingdom of Sweets in a magical sleigh",The Nutcracker,400,,
118369,4694,2005-01-20,Double Jeopardy!,IN MEMORIAM 2004,$2000,"An Oscar winner for ""All The King's Men"", she was also a voice of the possessed child in ""The Exorcist""",Mercedes McCambridge,2000,,
118379,3182,1998-06-02,Jeopardy!,ODD WORDS,$100,"People were ""aurified"" by King Midas; he turned them into this",Gold,100,,
118432,3182,1998-06-02,Double Jeopardy!,"""STRAIGHT"" & ""NARROW""",$1000,Nat King Cole hit heard here:,"""Straighten Up and Fly Right""",1000,,
118439,1884,1992-11-12,Jeopardy!,AWARDS,$100,"In 1991 this Soviet leader won the Martin Luther King, Jr. Non-Violent Peace Prize",Mikhail Gorbachev,100,,
118613,5040,2006-07-07,Jeopardy!,BOOKS & AUTHORS,$200,"In a classic book, d'Artagnan hopes to serve as a guard to King Louis XIII & is befriended by this title group",The Three Musketeers,200,,
118789,5731,2009-07-06,Double Jeopardy!,CAN'T GET ENOUGH BROADWAY,$2000,"Geoffrey Rush & Susan Sarandon hit Broadway in 2009 in a revival of this Romanian-born absurdist's ""Exit the King""",Ionesco,2000,,
118809,1905,1992-12-11,Jeopardy!,KINGS & QUEENS,$300,In French this King of England is called Guillaume le Conquerant,William the Conqueror,300,,
118815,1905,1992-12-11,Jeopardy!,KINGS & QUEENS,$400,"Like this great leader whom he'd served as a general, Egypt's King Ptolemy I was Macedonian",Alexander the Great,400,,
